from,to,amount
BY,AZ,1079625
BY,EE,877521
BY,FI,518224
BY,GE,1990756
BY,HU,252829
BY,KG,1627315
BY,KZ,640184
BY,LT,3539675
BY,LV,3061952
BY,MD,1357622
BY,RU,49480184
BY,SE,257651
BY,TJ,1985042
BY,UA,29964816
BY,VN,147365
BZ,CN,525271
BZ,GT,12397702
BZ,HN,1949116
BZ,IN,159866
BZ,JM,126249
BZ,MX,1013631
BZ,SV,2683981
BZ,US,666686
CA,AF,457556
CA,AG,152036
CA,AL,1440877
CA,AM,576252
CA,AR,1621992
CA,AT,13255493
CA,AU,9784733
CA,AZ,246670
CA,BA,4089254
CA,BB,1961437
CA,BD,7846404
CA,BE,45870669
CA,BF,353365
CA,BG,3064759
CA,BI,144439
CA,BJ,110841
CA,BM,28486428
CA,BO,780692
CA,BR,3128418
CA,BY,669971
CA,BZ,335115
CA,CH,9119528
CA,CI,198761
CA,CL,544598
CA,CM,381358
CA,CN,414401953
CA,CO,11310472
CA,CR,1801482
CA,CY,1095667
CA,CZ,17679676
CA,DE,80996215
CA,DJ,310048
CA,DK,10123479
CA,DM,278106
CA,DO,3425190
CA,DZ,4498905
CA,EC,3879689
CA,EE,1830777
CA,EG,26879339
CA,ES,10696782
CA,ET,2608973
CA,FI,3778115
CA,FJ,1181950
CA,FR,129673522
CA,GB,56862603
CA,GE,500504
CA,GH,8175209
CA,GM,188019
CA,GR,2682187
CA,GT,14225462
CA,GY,5904397
CA,HK,13604812
CA,HN,3786162
CA,HR,11881785
CA,HT,14389002
CA,HU,43608114
CA,ID,3354592
CA,IE,2015566
CA,IL,7598638
CA,IN,287674446
CA,IQ,1816129
CA,IR,8978559
CA,IS,363482
CA,IT,107211193
CA,JM,31458853
CA,JO,4804908
CA,JP,15323538
CA,KE,12300994
CA,KG,604686
CA,KH,967382
CA,KN,110993
CA,KR,32694158
CA,LA,187105
CA,LB,85292847
CA,LC,294841
CA,LK,48845846
CA,LR,611944
CA,LT,1679795
CA,LU,1942432
CA,LV,2636060
CA,MA,11441620
CA,MD,1373131
CA,MG,489111
CA,MK,494901
CA,ML,398872
CA,MM,166468
CA,MN,255649
CA,MO,146769
CA,MT,1841645
CA,MU,1787188
CA,MX,15578952
CA,MY,2430803
CA,NC,1767602
CA,NG,43554614
CA,NI,2494566
CA,NL,18128828
CA,NO,1864826
CA,NP,1368455
CA,NZ,468694
CA,OM,206790
CA,PA,1212202
CA,PE,5675698
CA,PF,1893763
CA,PH,236952221
CA,PK,56213519
CA,PL,34110409
CA,PT,40867813
CA,PY,755167
CA,QA,5377255
CA,RO,13901664
CA,RS,6180965
CA,RU,5876099
CA,RW,509995
CA,SA,1551121
CA,SC,253743
CA,SE,6586022
CA,SI,2580919
CA,SK,6202098
CA,SL,101653
CA,SN,1644304
CA,SV,15655323
CA,SY,987302
CA,TG,339529
CA,TH,7937068
CA,TJ,309820
CA,TN,2614992
CA,TR,889990
CA,TT,3014982
CA,TZ,5741568
CA,UA,10758344
CA,UG,7602237
CA,US,66198046
CA,UY,249124
CA,VC,809035
CA,VE,591644
CA,VN,95276696
CA,YE,362274
CA,ZA,5219780
CD,AO,101997
CD,BI,133561
CD,RW,5871947
CD,UG,609183
CF,CM,551877
CF,FR,6417643
CF,IT,109725
CF,LB,562338
CF,ML,116969
CF,NG,3757953
CF,SN,709678
CF,US,114145
CG,BJ,654229
CG,CD,292852
CG,CM,442476
CG,CN,389405
CG,DE,173782
CG,FR,9797304
CG,LB,725760
CG,ML,4516130
CG,PT,242796
CG,RU,137774
CG,RW,1065974
CG,SN,2991069
CG,TG,157499
CH,AL,242317
CH,AM,171787
CH,AR,657387
CH,AT,36212356
CH,AU,2451627
CH,BA,7545874
CH,BD,475444
CH,BE,31865808
CH,BF,364912
CH,BG,1006737
CH,BO,630618
CH,BR,5921112
CH,CA,1244265
CH,CI,204869
CH,CL,139894
CH,CM,752046
CH,CN,12464711
CH,CO,2931010
CH,CR,418325
CH,CV,315576
CH,CZ,10129399
CH,DE,148044030
CH,DK,3050199
CH,DO,4989236
CH,DZ,1188432
CH,EC,1316660
CH,EE,179823
CH,EG,3885398
CH,ES,55878094
CH,ET,701033
CH,FI,1468227
CH,FR,199583105
CH,GB,4137716
CH,GE,200727
CH,GH,1153867
CH,GM,306353
CH,GR,303566
CH,GT,855778
CH,HN,390828
CH,HR,5936042
CH,HT,430188
CH,HU,14757907
CH,ID,838922
CH,IE,282440
CH,IL,1047107
CH,IN,10980012
CH,IQ,365737
CH,IR,807717
CH,IS,192111
CH,IT,85077575
CH,JM,190308
CH,JO,399719
CH,JP,3472992
CH,KE,1815069
CH,KG,236643
CH,KH,123172
CH,KR,891329
CH,LB,6329293
CH,LK,13564372
CH,LR,204865
CH,LT,289369
CH,LU,6293057
CH,LV,558430
CH,MA,4712467
CH,MD,289796
CH,ME,462672
CH,MG,415513
CH,MK,3120453
CH,ML,190428
CH,MN,282514
CH,MU,476592
CH,MX,1529523
CH,MY,227873
CH,NG,8725682
CH,NI,160745
CH,NL,3442545
CH,NO,726395
CH,NP,368192
CH,PA,172606
CH,PE,2210334
CH,PH,7498878
CH,PK,1762969
CH,PL,4723284
CH,PT,49865060
CH,QA,235254
CH,RO,2228467
CH,RS,38333233
CH,RU,1540500
CH,RW,152770
CH,SE,8191491
CH,SI,955780
CH,SK,4581341
CH,SN,1554854
CH,SV,252002
CH,SY,181627
CH,TG,453949
CH,TH,13871571
CH,TN,3371196
CH,TR,2895309
CH,TZ,259342
CH,UA,1239954
CH,UG,558348
CH,US,7982873
CH,VE,189642
CH,VN,6840596
CH,YE,125333
CH,ZA,910060
CL,AR,4331304
CL,AT,365330
CL,AU,489216
CL,BE,2020360
CL,BO,4529196
CL,BR,1590668
CL,CA,225397
CL,CH,491157
CL,CN,3952266
CL,CO,4100949
CL,CR,228280
CL,CZ,122764
CL,DE,2869425
CL,DK,145607
CL,DO,140242
CL,EC,4872577
CL,ES,10317422
CL,FR,5030460
CL,GB,906944
CL,GT,190721
CL,HN,153698
CL,HR,117084
CL,HU,317002
CL,IL,176561
CL,IN,313379
CL,IT,1453083
CL,JP,451575
CL,KR,312953
CL,LB,226645
CL,MX,446065
CL,NL,114366
CL,NO,127447
CL,PA,217621
CL,PE,30973260
CL,PF,123111
CL,PH,116478
CL,PY,117358
CL,QA,110905
CL,SE,1239750
CL,US,2278733
CL,VE,217012
CL,ZA,1260204
CM,BJ,200770
CM,CI,116363
CM,FR,19060978
CM,GH,1092854
CM,IT,358621
CM,ML,2131085
CM,NE,1316491
CM,NG,250986230
CM,SN,1846704
CM,US,665013
CN,AR,125883
CN,AT,580781
CN,AU,5258686
CN,BD,925747
CN,BE,3042107
CN,BR,15601678
CN,CA,1964977
CN,CH,516040
CN,CO,168385
CN,CZ,242157
CN,DE,5838271
CN,DK,886238
CN,EG,633577
CN,ES,2920427
CN,FI,347630
CN,FR,19306678
CN,GB,1058856
CN,GH,324376
CN,HK,372844
CN,HU,293807
CN,ID,10932716
CN,IL,198894
CN,IN,6401197
CN,IT,1846730
CN,JO,393746
CN,JP,29521496
CN,KE,219707
CN,KG,297644
CN,KR,52341595
CN,LB,340603
CN,LK,2170478
CN,ML,132416
CN,MM,809341
CN,MN,1505736
CN,MO,512660
CN,MX,251909
CN,MY,966768
CN,NG,2387893
CN,NL,475190
CN,NO,255496
CN,NP,548301
CN,NZ,139871
CN,PA,303441
CN,PE,4045954
CN,PH,53627258
CN,PK,2196875
CN,PL,131201
CN,RU,700334
CN,SE,2040538
CN,TH,13709510
CN,TJ,186306
CN,UA,186845
CN,UG,122989
CN,US,14946192
CN,VN,14971920
CN,YE,333008
CN,ZA,189689
CO,AR,202859
CO,AT,111858
CO,BE,817397
CO,BO,108854
CO,BR,304941
CO,CH,253043
CO,CN,1127287
CO,CR,387251
CO,DE,929128
CO,DO,143478
CO,EC,2888523
CO,ES,5504046
CO,FR,2568337
CO,GB,101079
CO,GT,282956
CO,HN,158956
CO,HU,105925
CO,IL,119809
CO,IT,847425
CO,JP,313692
CO,LB,958363
CO,MX,555159
CO,NC,258341
CO,NI,102317
CO,PA,674612
CO,PE,905693
CO,SE,140754
CO,US,3835380
CO,VE,1849616
CR,AR,151737
CR,AT,169716
CR,BE,782697
CR,BR,144253
CR,CA,279461
CR,CH,410765
CR,CN,5377903
CR,CO,5037959
CR,DE,1109376
CR,DO,947088
CR,EC,335917
CR,ES,2616020
CR,FR,1881143
CR,GT,2005727
CR,HN,1856676
CR,IN,191027
CR,IT,804651
CR,JP,203030
CR,KR,219467
CR,LB,103502
CR,MX,813062
CR,NG,102547
CR,NI,52780145
CR,NL,144329
CR,PA,2032555
CR,PE,853060
CR,PH,140860
CR,SE,204371
CR,SV,2551555
CR,US,4061372
CR,VE,203041
CU,CN,179557
CU,CZ,127486
CU,DE,142258
CU,ES,4270219
CU,FR,197072
CU,HT,131314
CU,RU,151472
CU,US,115818
CV,ES,121933
CV,FR,257217
CV,GW,447591
CV,IT,126153
CV,NG,1041647
CV,PT,262329
CV,SN,460637
CW,BE,171576
CW,CN,294253
CW,CO,1036562
CW,DO,2343761
CW,HT,311428
CW,IN,298452
CW,JM,258998
CW,LB,227345
CW,NL,1309797
CW,PT,204639
CY,AM,279970
CY,AT,229778
CY,AU,1388489
CY,BD,136244
CY,BE,593770
CY,BG,1137194
CY,CA,174085
CY,CH,170354
CY,CN,1168938
CY,CZ,535578
CY,DE,1235873
CY,DK,100262
CY,EG,3287335
CY,ES,156893
CY,FI,149978
CY,FR,1380785
CY,GB,3594727
CY,GE,4584001
CY,GR,863705
CY,HU,322025
CY,IL,118233
CY,IN,1572873
CY,IR,112306
CY,IT,175746
CY,JO,264027
CY,LB,3016024
CY,LK,4346891
CY,MD,222993
CY,NG,746426
CY,PH,4165497
CY,PK,201138
CY,PL,140541
CY,RO,895700
CY,RS,795884
CY,RU,1148500
CY,SE,854067
CY,SY,159725
CY,TH,196296
CY,UA,562434
CY,US,782504
CY,ZA,629380
CZ,AM,957125
CZ,AT,2644927
CZ,AU,425096
CZ,AZ,128637
CZ,BA,555639
CZ,BE,1952886
CZ,BG,1450130
CZ,BR,109850
CZ,BY,722084
CZ,CA,177821
CZ,CH,419187
CZ,CN,3055560
CZ,DE,6749213
CZ,DK,295245
CZ,DZ,156727
CZ,EG,635043
CZ,ES,1166465
CZ,FI,126270
CZ,FR,6278157
CZ,GB,771724
CZ,GE,489473
CZ,HR,1338107
CZ,HU,3822853
CZ,IL,449811
CZ,IN,1236407
CZ,IT,1737315
CZ,JO,236280
CZ,JP,1459587
CZ,KG,475567
CZ,KR,673944
CZ,LB,597678
CZ,LT,205404
CZ,LV,131104
CZ,MA,108448
CZ,MD,1912192
CZ,MK,203338
CZ,MN,2050796
CZ,MX,142766
CZ,NG,2541727
CZ,NL,739512
CZ,PH,328306
CZ,PK,350185
CZ,PL,4404861
CZ,QA,198286
CZ,RO,1808169
CZ,RS,1156335
CZ,RU,2689444
CZ,SE,959037
CZ,SI,135209
CZ,SK,101005835
CZ,TH,931239
CZ,TJ,128338
CZ,TN,355323
CZ,UA,20278918
CZ,US,1463407
CZ,VN,25156449
DE,AF,1495675
DE,AL,4909484
DE,AM,3112737
DE,AR,691666
DE,AT,110205297
DE,AU,4956807
DE,AZ,1847334
DE,BA,21067370
DE,BD,1207169
DE,BE,58171655
DE,BF,922831
DE,BG,14405102
DE,BJ,217710
DE,BO,399386
DE,BR,9172341
DE,BY,3301641
DE,CA,2170013
DE,CH,22876916
DE,CI,232712
DE,CL,120682
DE,CM,1417599
DE,CN,64574682
DE,CO,3885535
DE,CR,421491
DE,CY,272995
DE,CZ,103405700
DE,DK,14370272
DE,DO,4292399
DE,DZ,2127703
DE,EC,1477846
DE,EE,3677640
DE,EG,11071271
DE,ES,102965173
DE,ET,1302046
DE,FI,5333560
DE,FR,212385180
DE,GB,10912421
DE,GE,4908499
DE,GH,12026875
DE,GM,1292044
DE,GN,147963
DE,GR,7646947
DE,GT,684014
DE,HN,481077
DE,HR,61755383
DE,HT,118731
DE,HU,99734851
DE,ID,3609738
DE,IE,1264101
DE,IL,7357112
DE,IN,33225298
DE,IQ,5862801
DE,IR,13383839
DE,IS,841189
DE,IT,131044970
DE,JM,378703
DE,JO,7548745
DE,JP,9863117
DE,KE,4620341
DE,KG,28222024
DE,KR,8278764
DE,KZ,7345309
DE,LB,87835846
DE,LK,21877679
DE,LR,1206063
DE,LT,8921202
DE,LU,57505523
DE,LV,6251278
DE,MA,31676940
DE,MD,5871653
DE,ME,4392038
DE,MG,171587
DE,MK,5891502
DE,ML,382872
DE,MT,117538
DE,MX,2154091
DE,MY,453634
DE,NE,292136
DE,NG,69911877
DE,NI,171754
DE,NL,21382150
DE,NO,2857656
DE,NP,1193488
DE,PA,149259
DE,PE,3581897
DE,PH,29118359
DE,PK,19182303
DE,PL,211661718
DE,PT,33848196
DE,PY,115214
DE,RO,64716564
DE,RS,61696435
DE,RU,78121136
DE,RW,122314
DE,SA,132474
DE,SE,18360070
DE,SI,9845564
DE,SK,24185972
DE,SL,146367
DE,SN,1779221
DE,SV,194395
DE,SY,2714720
DE,TG,2625691
DE,TH,63472021
DE,TJ,7891830
DE,TN,10299132
DE,TR,50322125
DE,TZ,363447
DE,UA,36927505
DE,UG,1218219
DE,US,30664019
DE,VE,198829
DE,VN,74789739
DE,YE,696410
DE,ZA,1255300
DJ,ET,639691
DK,AF,140286
DK,AM,148560
DK,AT,1027585
DK,AU,1176875
DK,BA,2325098
DK,BD,221436
DK,BE,3897890
DK,BG,907980
DK,BR,511611
DK,CA,370434
DK,CH,1001073
DK,CN,7524382
DK,CO,761944
DK,CZ,793980
DK,DE,14342570
DK,DZ,112372
DK,EC,146875
DK,EE,440324
DK,EG,971648
DK,ES,5067113
DK,ET,252731
DK,FI,975887
DK,FR,9045647
DK,GB,1546898
DK,GH,717535
DK,GM,241157
DK,GT,188951
DK,HR,214480
DK,HU,3219493
DK,ID,249954
DK,IE,123873
DK,IL,451683
DK,IN,5121295
DK,IQ,1046856
DK,IR,1161380
DK,IS,3791595
DK,IT,1980349
DK,JO,661961
DK,JP,850703
DK,KE,766919
DK,KR,2182001
DK,LB,12703485
DK,LK,3252485
DK,LT,1968919
DK,LU,1294072
DK,LV,1425310
DK,MA,1414219
DK,MK,150901
DK,MX,255970
DK,NG,3231822
DK,NL,980371
DK,NO,5941653
DK,NP,705242
DK,PE,237760
DK,PH,5710522
DK,PK,4757825
DK,PL,5482327
DK,PT,364626
DK,QA,295748
DK,RO,2018758
DK,RS,1011626
DK,RU,443577
DK,SE,17549371
DK,SK,478253
DK,SY,196960
DK,TH,8194913
DK,TN,264016
DK,TR,1112532
DK,TZ,277994
DK,UA,1080473
DK,UG,917136
DK,US,2514760
DK,VN,5463159
DK,ZA,211728
DM,US,120626
DO,AR,237895
